Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
"Tilapia (Fresh, Tempered & Boiled)",105.0985,10.831794,5.4831877,3.251961,1.668628,72.065788,2.1711249,2.8307512,8.9264154,19.530489,0.048393998,0,0,0
"Sailfish (Dried, With Coconut Oil)",330.29041,42.882195,16.007792,3.5513251,1.8298839,59.322285,1.644645,11.379606,140.65269,41.462448,0.099384002,0,0,0
"Sailfish (Dried, Tempered, With Coconut Milk)",251.34691,23.905003,15.66808,3.815783,1.302888,35.296715,1.556162,2.6804285,77.628197,12.205353,0.031093,0,0,0
"Sailfish (Fresh, Deep-Fried)",211.11029,19.300932,14.755504,0,0,9.1932116,0.854343,0,84.709915,0,0,0,0,0
"Seer Fish (Dried, Tempered, With Coconut Milk)",165.2469,8.0545034,13.19938,3.6249828,1.249688,23.305115,1.3187621,2.5629385,42.945358,12.202394,0.030092999,0,0,0
"Seer Fish (Fresh, Deep-Fried)",208,26.9,11.1,0,0,15,0.61,2.2,1.4,54,1,0,0,0
"Skipjack Tuna (Dried, Tempered, With Coconut Milk)",214.8414,9.6335649,17.200163,5.3929491,1.5000269,31.013002,1.669462,5.3753357,35.586552,12.384288,0.057050999,0,0,0
"Skipjack Tuna (Dried, Deep-Fried)",372.69,55.497299,17.0819,0,0,72.627602,3.132,0,166.77901,0,0,0,0,0
"Skipjack Tuna (Fresh, Cooked)",82,12.3,1.04,6.3,0,53.4,1.6,2.88,8.37,67.46,0,0,0,0
"Skipjack Tuna (Fresh, Deep-Fried)",233.21899,23.637201,14.94234,0.78879499,0.71848702,17.277781,0.94344199,0,8.3384295,3.4068999,0.031899001,0,0,0
"Tuna (Fresh, Deep-Fried)",244.16521,19.959444,18.003094,0,0,48.425095,0.92652899,0,69.352371,0,0,0,0,0
"Skipjack Tuna (Dried, Tempered)",270.5838,34.640537,12.419571,5.4839292,2.643693,68.416908,2.6627331,7.6027465,112.23093,18.566446,0.084687002,0,0,0
"Sailfish (Fresh, Boiled, With Coconut Milk)",156.7149,9.6210346,11.25411,4.1620331,1.36043,24.492958,1.75964,2.4795806,44.881813,16.195127,0.062613003,0,0,0
"Seer Fish (Fresh, Boiled, With Coconut Milk)",92,11.1,3.9,3.5,0,28,0.9,1.97,3.19,98.1,0,0,0,0
"Tuna (Dried, Tempered)",270.5838,34.640537,12.419571,5.4839292,2.643693,68.416908,2.6627331,7.6027465,112.23093,18.566446,0.084687002,0,0,0
"Tuna (Fresh, Boiled)",75.185501,10.503594,2.141288,3.251961,1.668628,41.252892,1.0635623,2.5766902,38.395771,20.197735,0.048393998,0,0,0
"Tuna (Fresh, Boiled, With Coconut Milk)",163.34491,10.559435,11.50911,4.1620331,1.36043,42.72036,1.82084,2.4795806,40.663605,16.195127,0.062613003,0,0,0
"Emperor Fish (Vilai), Fresh, Boiled, With Coconut Milk",165.3849,12.890135,10.76451,4.1620331,1.36043,23.988058,1.5403399,2.4795806,12.779354,16.195127,0.062613003,0,0,0
"Emperor Fish (Vilai), Fresh, Boiled & Tempered, With Coconut Milk",221.2449,13.454135,16.592911,4.4370327,1.36043,24.921059,1.6259401,2.5915806,13.568394,16.195127,0.062613003,0,0,0
"Emperor Fish (Vilai), Fresh, Tempered, With Coconut Milk",221.2449,13.454135,16.592911,4.4370327,1.36043,24.921059,1.6259401,2.5915806,13.568394,16.195127,0.062613003,0,0,0
"Silver-Biddy (Fresh, Boiled, With Coconut Milk)",156.71004,11.360642,10.614073,4.1620331,1.36043,60.213341,2.4430633,2.4795806,73.466698,16.195127,0.062613003,0,0,0
"Rabbit Fish (Fresh, Boiled, With Coconut Milk)",156.71004,11.360642,10.614073,4.1620331,1.36043,60.213341,2.4430633,2.4795806,73.466698,16.195127,0.062613003,0,0,0
"Sea Fish (Large, Nfs, Fresh, Boiled, With Coconut Milk)",153.06285,11.387767,10.213167,4.0925612,1.266714,58.22419,2.0041482,2.9839594,73.938698,15.012181,0.034991998,0,0,0
"Mural (Halfbeak), Fresh, Boiled, With Coconut Milk",157.6487,11.41271,10.60254,4.0925612,1.266714,240.10008,1.673275,2.9839594,37.461834,15.012181,0.034991998,0,0,0
"River Fish (Large, Nfs, Fresh, Boiled, With Coconut Milk)",153.06285,11.387767,10.213167,4.0925612,1.266714,58.22419,2.0041482,2.9839594,73.938698,15.012181,0.034991998,0,0,0
"Fish (Large, Nfs, Dried, Tempered)",259.02405,30.537756,12.832444,5.604393,2.7949731,63.095188,2.2387381,10.24964,95.499016,35.901924,0.087095,0,0,0
"Asian Sea Bass (Fresh, Boiled, With Coconut Milk)",140.8517,9.2647305,9.5336399,4.0925612,1.266714,23.184647,1.1184649,2.9839594,19.101187,15.012181,0.034991998,0,0,0
